Date,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLC,XLY,XLP,XLU,SPY,SHY,^TNX,CL=F,HY_SPREAD
2017-05-10,47.61077880859375,20.353792190551758,65.64071655273438,57.79479217529297,44.70579528808594,23.957366943359375,50.838661193847656,48.83480699701346,83.2928237915039,44.072662353515625,39.51225662231445,209.76438903808594,71.7735595703125,2.4140000343322754,47.33000183105469,3.72
2017-05-11,47.512935638427734,20.225566864013672,65.6755599975586,57.7774543762207,44.63808059692383,23.84375,50.774513244628906,48.137015814588274,82.79610443115234,44.136714935302734,39.566062927246094,209.3358917236328,71.78205108642578,2.4000000953674316,47.83000183105469,3.72
2017-05-12,47.352169036865234,20.140079498291016,65.56233215332031,57.456790924072266,44.528053283691406,23.75286102294922,50.90278625488281,48.45985143390321,82.67650604248047,44.00859069824219,39.75821304321289,208.98611450195312,71.8670654296875,2.3350000381469727,47.84000015258789,3.77
2017-05-15,47.72261047363281,20.293956756591797,65.98905181884766,57.72544860839844,44.917388916015625,23.858898162841797,51.18679428100586,48.496324233972395,82.69488525390625,44.15273666381836,39.92729187011719,210.14047241210938,71.85857391357422,2.3380000591278076,48.849998474121094,3.72
2017-05-16,47.4849739074707,20.353792190551758,65.73649597167969,57.664794921875,44.92585754394531,23.737707138061523,51.42500305175781,48.44424000405719,82.4097671508789,44.112693786621094,39.63523483276367,209.94802856445312,71.85857391357422,2.3289999961853027,48.65999984741211,3.71
2017-05-17,47.01667785644531,19.71265983581543,64.87430572509766,56.51217269897461,43.977901458740234,23.889192581176758,50.02326583862305,47.51213005418632,81.07595825195312,44.04862976074219,39.73514938354492,206.2227325439453,71.93511199951172,2.2160000801086426,49.06999969482422,3.84
2017-05-18,47.002708435058594,19.78959846496582,65.16170501708984,56.59019088745117,44.0033073425293,23.934640884399414,50.31642532348633,47.92351377501561,81.54512023925781,44.080665588378906,39.87350082397461,207.05343627929688,71.9011001586914,2.2330000400543213,49.349998474121094,3.85
2017-05-19,47.582828521728516,19.960561752319336,65.3446044921875,57.33546447753906,44.38417434692383,24.07098388671875,50.609622955322266,48.31406737526683,82.09700012207031,44.32089614868164,40.02721405029297,208.40017700195312,71.9180679321289,2.244999885559082,50.33000183105469,3.78
2017-05-22,47.477996826171875,20.011859893798828,65.51879119873047,57.7774543762207,44.4349479675293,24.131574630737305,51.01273727416992,48.61088989715176,82.51092529296875,44.56911849975586,40.37306594848633,209.45831298828125,71.89261627197266,2.253999948501587,50.72999954223633,3.72
2017-05-23,47.589820861816406,20.165727615356445,65.73649597167969,57.89877700805664,44.468807220458984,24.161865234375,51.104339599609375,48.62650579123279,82.1982192993164,44.617156982421875,40.48066329956055,209.92173767089844,71.8670654296875,2.2850000858306885,51.470001220703125,3.67
2017-05-24,47.338199615478516,20.15717887878418,65.90198516845703,57.96811294555664,44.765037536621094,24.298206329345703,51.3150634765625,48.42862857421118,82.4925537109375,44.79331588745117,40.711246490478516,210.41146850585938,71.90958404541016,2.2660000324249268,51.36000061035156,3.68
2017-05-25,46.478515625,20.19137191772461,66.21554565429688,58.349422454833984,44.71426010131836,24.389095306396484,51.68153381347656,48.65253228136783,83.21923065185547,45.073577880859375,41.041717529296875,211.41712951660156,71.90958404541016,2.255000114440918,48.900001525878906,3.67
2017-05-26,46.555397033691406,20.182823181152344,66.09359741210938,58.41875076293945,44.798892974853516,24.237611770629883,51.654056549072266,48.56922519176061,83.46759033203125,45.24174118041992,41.041717529296875,211.37342834472656,71.9011001586914,2.25,49.79999923706055,3.67
2017-05-30,45.93335723876953,20.046049118041992,65.9977798461914,58.40140151977539,44.79043197631836,24.169445037841797,51.873931884765625,48.88686890575358,83.531982421875,45.22571563720703,41.1723747253418,211.18978881835938,71.9266128540039,2.2170000076293945,49.65999984741211,3.68
2017-05-31,45.737674713134766,19.87508201599121,66.25907897949219,58.51406478881836,44.92585754394531,24.131574630737305,51.79147720336914,48.938948671433764,83.75274658203125,45.35383987426758,41.37989807128906,211.13734436035156,71.93511199951172,2.196000099182129,48.31999969482422,3.74
2017-06-01,46.024227142333984,20.122983932495117,66.99063110351562,58.878047943115234,45.46754837036133,24.207313537597656,51.919734954833984,49.46490251967744,84.54383850097656,45.72218322753906,41.671958923339844,212.81631469726562,71.92144012451172,2.2170000076293945,48.36000061035156,3.69
2017-06-02,45.493038177490234,20.046049118041992,67.42608642578125,59.112037658691406,45.57756042480469,24.419395446777344,52.396148681640625,49.82941177285355,84.84736633300781,45.858306884765625,41.71807098388672,213.5247039794922,71.97252655029297,2.1589999198913574,47.65999984741211,3.69
2017-06-05,45.5769157409668,20.080245971679688,67.2344741821289,58.90403747558594,45.43368148803711,24.35879898071289,52.44197082519531,49.70443997785517,84.61739349365234,45.9063606262207,41.58740997314453,213.36732482910156,71.91297149658203,2.181999921798706,47.400001525878906,3.68
2017-06-06,46.11507797241211,19.99475860595703,67.06900787353516,58.505401611328125,45.45907211303711,24.245182037353516,52.341190338134766,49.82419754635651,83.89073944091797,45.79424285888672,41.49517822265625,212.68521118164062,71.93851470947266,2.1470000743865967,48.189998626708984,3.72
2017-06-07,45.465087890625,20.148630142211914,67.25189971923828,58.43608093261719,45.51832580566406,24.373947143554688,52.50609588623047,49.428438648078284,84.03791809082031,45.778228759765625,41.63351821899414,213.07870483398438,71.91297149658203,2.177999973297119,45.720001220703125,3.73
2017-06-08,45.332275390625,20.379440307617188,67.06031036376953,58.626739501953125,45.65373229980469,24.260334014892578,52.62519073486328,49.449268768656346,83.49518585205078,45.43391799926758,41.28767013549805,213.18365478515625,71.89594268798828,2.194000005722046,45.63999938964844,3.76
2017-06-09,46.422607421875,20.76412010192871,67.5131607055664,58.852054595947266,46.23773956298828,24.373947143554688,51.3242301940918,49.57945925438678,83.12725067138672,45.37786102294922,41.24924087524414,212.86009216308594,71.87045288085938,2.1989998817443848,45.83000183105469,3.73
2017-06-12,46.75110626220703,20.806856155395508,67.42608642578125,59.06871795654297,46.06001281738281,24.533008575439453,51.021888732910156,50.173099833921626,83.08126831054688,45.369850158691406,41.1723747253418,212.81631469726562,71.8619155883789,2.2130000591278076,46.08000183105469,3.71
2017-06-13,47.10055923461914,20.917980194091797,67.56546020507812,59.31136703491211,46.63555145263672,24.593599319458008,51.38835525512695,49.980423450692015,83.59636688232422,45.441917419433594,41.27229309082031,213.85696411132812,71.8619155883789,2.2070000171661377,46.459999084472656,3.68
2017-06-14,46.24787902832031,20.952186584472656,67.8876724243164,59.25070571899414,46.14463424682617,24.669336318969727,51.14099884033203,49.99085190368609,83.5503921508789,45.73019027709961,41.49517822265625,213.58592224121094,71.89594268798828,2.138000011444092,44.72999954223633,3.7
2017-06-15,45.898406982421875,20.86669921875,67.8180160522461,59.60602569580078,45.738372802734375,24.790531158447266,50.91195297241211,49.74088599251427,83.2008285522461,45.6260986328125,41.733428955078125,213.17489624023438,71.87045288085938,2.1619999408721924,44.459999084472656,3.72
2017-06-16,46.65774917602539,20.843530654907227,67.92992401123047,59.801048278808594,45.935665130615234,24.77678108215332,50.82271194458008,49.756506350830314,83.17776489257812,45.14678192138672,41.92482376098633,213.2215118408203,71.90449523925781,2.1570000648498535,44.7400016784668,3.76
2017-06-19,46.36217498779297,21.058061599731445,68.63814544677734,60.16676330566406,46.30131149291992,24.79205894470215,51.57701110839844,49.53780794170067,83.81439971923828,45.36465835571289,41.78534698486328,214.99661254882812,71.8619155883789,2.190000057220459,44.20000076293945,3.7
2017-06-20,45.771034240722656,20.877851486206055,68.865478515625,59.522422790527344,46.04621124267578,24.746234893798828,51.1630744934082,48.89207866801561,82.76255798339844,45.18712615966797,41.80858612060547,213.54660034179688,71.87045288085938,2.1530001163482666,43.22999954223633,3.77
2017-06-21,45.03211212158203,20.706235885620117,69.7398681640625,59.12188720703125,45.56150817871094,24.69277000427246,51.44822311401367,48.324477971320846,82.8917465209961,45.05802536010742,41.56065368652344,213.493896484375,71.87894439697266,2.1549999713897705,42.529998779296875,3.85
2017-06-22,45.003963470458984,20.5775146484375,70.4655990600586,58.99999237060547,45.612525939941406,24.708045959472656,51.46662521362305,48.30885314876979,82.69799041748047,44.759464263916016,41.3669548034668,213.3972625732422,71.88746643066406,2.1530001163482666,42.7400016784668,3.87
